Scenario ID,Source,Destination,Demand,Mode,Algorithm,Status,Avg Time (s),Avg Cost,Std Dev,Best,Worst
1,173,192,28,balanced,Q-Learning,SUCCESS,5.6194,4.21,0.0,4.21,4.21
1,173,192,28,balanced,Genetic,SUCCESS,0.2657,16.25,11.6,4.21,30.1
2,29,89,95,balanced,Q-Learning,SUCCESS,5.5809,6.48,0.0,6.48,6.48
2,29,89,95,balanced,Genetic,SUCCESS,0.3739,28.67,15.16,13.37,54.47
3,185,121,85,balanced,Q-Learning,SUCCESS,6.3984,4.92,0.0,4.92,4.92
3,185,121,85,balanced,Genetic,SUCCESS,0.2642,12.38,6.34,4.92,20.36
4,95,23,50,balanced,Q-Learning,SUCCESS,5.7819,3.82,0.0,3.82,3.82
4,95,23,50,balanced,Genetic,SUCCESS,0.2801,6.35,5.06,3.82,16.47
5,209,106,70,reliability,Q-Learning,SUCCESS,1.7141,2.21,0.0,2.21,2.21
5,209,106,70,reliability,Genetic,SUCCESS,0.3769,4.19,2.31,2.38,8.6
6,151,14,137,balanced,Q-Learning,SUCCESS,5.7571,6.24,0.0,6.24,6.24
6,151,14,137,balanced,Genetic,SUCCESS,0.3807,15.58,12.68,6.24,40.47
7,214,37,27,delay,Q-Learning,SUCCESS,6.1538,6.17,0.0,6.17,6.17
7,214,37,27,delay,Genetic,SUCCESS,214,11.8,10.28,6.17,32.29
8,45,149,147,balanced,Q-Learning,SUCCESS,5.9594,6.41,0.0,6.41,6.41
8,45,149,147,balanced,Genetic,SUCCESS,0.3943,14.57,3.13,11.38,20.04
9,240,106,97,reliability,Q-Learning,SUCCESS,1728,0.71,0.0,0.71,0.71
9,240,106,97,reliability,Genetic,SUCCESS,0.2111,1.72,2.03,0.71,5.79
10,188,30,98,reliability,Q-Learning,SUCCESS,1.4675,1.43,0.0,1.43,1.43
10,188,30,98,reliability,Genetic,SUCCESS,0.2785,4.16,3.31,1.43,10.45
11,157,28,135,balanced,Q-Learning,SUCCESS,5.4494,5.05,0.0,5.05,5.05
11,157,28,135,balanced,Genetic,SUCCESS,0.4096,16.59,4.78,10.76,22.67
12,109,8,43,reliability,Q-Learning,SUCCESS,1.6201,2.13,0.0,2.13,2.13
12,109,8,43,reliability,Genetic,SUCCESS,0.3755,3.16,1.92,1.63,6.85
13,131,239,56,balanced,Q-Learning,SUCCESS,6.2426,7.05,0.0,7.05,7.05
13,131,239,56,balanced,Genetic,SUCCESS,0.4478,16.37,8.34,7.71,29.97
14,206,32,102,reliability,Q-Learning,SUCCESS,1.5434,1.04,0.0,1.04,1.04
14,206,32,102,reliability,Genetic,SUCCESS,344,7.5,5.31,1.04,16.37
15,107,46,51,balanced,Q-Learning,SUCCESS,5991,14.08,0.0,14.08,14.08
15,107,46,51,balanced,Genetic,SUCCESS,0.4564,22.54,8.57,7.2,29.66
16,206,102,73,delay,Q-Learning,SUCCESS,6.4985,9.14,0.0,9.14,9.14
16,206,102,73,delay,Genetic,SUCCESS,0.2629,27.21,22.77,9.14,62.79
17,167,147,11,balanced,Q-Learning,SUCCESS,6.5908,6.39,0.0,6.39,6.39
17,167,147,11,balanced,Genetic,SUCCESS,0.3174,13.3,4.4,8.42,18.63
18,176,5,135,delay,Q-Learning,SUCCESS,5.8685,9.24,0.0,9.24,9.24
18,176,5,135,delay,Genetic,SUCCESS,0.3755,33.69,12.21,12.91,47.1
19,5,16,999999,balanced,Q-Learning,FAILURE,0.0,0.0,0.0,0.0,0.0
19,5,16,999999,balanced,Genetic,FAILURE,0.0,0.0,0.0,0.0,0.0
20,146,81,999999,balanced,Q-Learning,FAILURE,0.0,0.0,0.0,0.0,0.0
20,146,81,999999,balanced,Genetic,FAILURE,0.0,0.0,0.0,0.0,0.0
